Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,CPIAUCSL,FEDFUNDS
2020-10-28,85.7854670693502,86.45394931655342,83.65030197871654,83.82989501953125,2279500,0.0,0.0,260.352,0.09
2020-10-29,83.82989084716301,87.25213034581634,83.43080198711147,86.31426239013672,2546300,0.0,0.0,260.352,0.09
2020-10-30,85.56596334998719,87.88071386204957,84.58817732814171,87.61132049560547,2336000,0.0,0.0,260.352,0.09
2020-11-02,87.80088806152344,88.3097362487315,86.32423341296882,87.80088806152344,2352800,0.0,0.0,260.352,0.09
2020-11-03,88.54919038364702,91.74194687938773,88.54919038364702,90.44489288330078,3040800,0.0,0.0,260.352,0.09
2020-11-04,91.0634898652621,96.40139108697312,90.37505623009459,92.8793716430664,2985200,0.0,0.0,260.352,0.09
2020-11-05,93.11883106277044,95.8626088448192,92.85941721379794,93.86713409423828,2397600,0.0,0.0,260.352,0.09
2020-11-06,93.4381086855111,94.84491445597915,92.07120571221849,92.62993621826172,2858900,0.0,0.0,260.352,0.09
2020-11-09,112.13570538643437,116.46588964566008,102.36785536100221,103.95426177978516,9584600,0.0,0.0,260.352,0.09
2020-11-10,104.76242530435424,106.20914146608531,102.50753668545399,104.00414276123047,4420000,0.0,0.0,260.352,0.09
2020-11-11,104.41322400218931,104.52297572891217,101.22045964575317,103.5152587890625,3696100,0.0,0.0,260.352,0.09
2020-11-12,102.09846466581787,103.03633259685415,100.60185864355304,101.81909942626953,2702600,0.0,0.0,260.352,0.09
2020-11-13,102.67715518340151,105.68033915076708,102.4177413388796,105.56061553955078,2637000,0.0,0.0,260.352,0.09
2020-11-16,109.22231235177452,109.46176719189593,106.01957627117167,106.33885192871094,4475400,0.0,0.0,260.352,0.09
2020-11-17,104.32341911808086,104.97194994435272,102.30799293854561,103.1061782836914,2732800,0.0,0.0,260.352,0.09
2020-11-18,103.13611654229314,105.39099755853343,102.66717875197214,103.11615753173828,1901600,0.0,0.0,260.352,0.09
2020-11-19,102.09846791417979,103.34563963908046,101.77919225709051,102.5674057006836,3284000,0.0,0.0,260.352,0.09
2020-11-20,102.61728469389861,103.13611237752365,101.220450884619,101.52975463867188,2302700,0.0,0.0,260.352,0.09
2020-11-23,102.65720045712561,104.81231689453125,102.17829076801253,104.81231689453125,3428200,0.0,0.0,260.352,0.09
2020-11-24,107.7257054921388,109.37197368171744,106.78782992466678,108.69351196289062,2827100,0.0,0.0,260.352,0.09
2020-11-25,107.75563688791337,107.90529901712856,105.97966557196112,106.05948638916016,1847300,0.0,0.0,260.352,0.09
2020-11-27,106.37875807129801,106.75789552062999,103.93429701779888,104.17375946044922,1008700,0.0,0.0,260.352,0.09
2020-11-30,103.80459139577299,104.04404622050605,101.53972342291718,103.39551544189453,2952700,0.0,0.0,260.352,0.09
2020-12-01,105.021838687696,105.40097615150282,103.63498433929192,104.602783203125,1946700,0.0,0.0,261.564,0.09
2020-12-02,104.06400756145428,106.9474678638258,103.56513889167191,106.50846099853516,2069100,0.0,0.0,261.564,0.09
2020-12-03,106.8876039747015,111.28762952354461,106.8876039747015,108.91301727294922,3119200,0.0,0.0,261.564,0.09
2020-12-04,109.6214038028114,110.98829908081996,108.38420402593171,110.59918212890625,1261700,0.0,0.0,261.564,0.09
2020-12-07,110.03047596410528,110.16018669399152,108.08489113713192,109.58149719238281,1622600,0.0,0.0,261.564,0.09
2020-12-08,108.39418483687363,110.50939075420345,108.36425393438601,108.80326080322266,1838500,0.0,0.0,261.564,0.09
2020-12-09,109.25224784707345,109.7112061483176,105.46084259382889,106.45858001708984,2165100,0.0,0.0,261.564,0.09
2020-12-10,106.00959163978683,107.60596985028903,104.96196439519977,107.11708068847656,2360100,0.0,0.0,261.564,0.09
